"property_id","address","street_name","city","rstate","latitude","longitude","postcode","price","zestimate","bedroom_number","bathroom_number","price_per_unit","living_space","land_space","property_type","property_status","agency_name","zillow_owned","RunDate"
"59212739","94 Beacon St APT 2, Boston, MA 02108","Beacon St APT 2","Boston","MA","42.355747","-71.072495","02108",3250000.00,3160000.00,3.00,2.00,1477,2200.00,"","CONDO","FOR_SALE","",0,"2022-03-13 07:34:20"
"59180163","9 Hawthorne Pl APT 3R, Boston, MA 02114","Hawthorne Pl APT 3R","Boston","MA","42.364014","-71.06571","02114",559000.00,545000.00,1.00,1.00,594,941.00,"","CONDO","FOR_SALE","Leading Edge Real Estate",0,"2022-03-13 07:34:20"
"2067435042","25 Savoy St #PS-52/53, Boston, MA 02118","Savoy St #PS-52/53","Boston","MA","","","02118",175000.00,175000.00,0.00,0.00,"",0.00,"","CONDO","FOR_SALE","Gibson Sotheby's International Realty",0,"2022-03-13 07:34:20"
"2067435043","301 Border St #401, Boston, MA 02128","Border St #401","Boston","MA","42.37792","-71.039764","02128",545000.00,545000.00,1.00,1.00,822,663.00,"","CONDO","FOR_SALE","Charlesgate Realty Group, llc",0,"2022-03-13 07:34:20"
"2092290308","140 Shawmut Ave #1G, Boston, MA 02118","Shawmut Ave #1G","Boston","MA","42.345722","-71.06568","02118",1399000.00,1399000.00,2.00,2.00,911,1535.00,"","CONDO","FOR_SALE","Thread Real Estate, LLC",0,"2022-03-13 07:34:20"
"246887165","1 Franklin St UNIT 1905, Boston, MA 02110","Franklin St UNIT 1905","Boston","MA","42.356316","-71.059555","02110",1850000.00,"",2.00,2.00,1593,1161.00,"","CONDO","FOR_SALE","Luxury Residential Group, LLC",0,"2022-03-13 07:34:20"
"2067478873","301 Border St #208, Boston, MA 02128","Border St #208","Boston","MA","42.37792","-71.039764","02128",720000.00,"",2.00,2.00,845,852.00,"","CONDO","FOR_SALE","Charlesgate Realty Group, llc",0,"2022-03-13 07:34:20"
"333606444","85 Willow Ct #401, Boston, MA 02125","Willow Ct #401","Boston","MA","42.324875","-71.06411","02125",988000.00,973500.00,3.00,2.00,713,1385.00,"","CONDO","FOR_SALE","V & E Realty",0,"2022-03-13 07:34:20"
"71546255","3 Avery St UNIT 903, Boston, MA 02111","Avery St UNIT 903","Boston","MA","42.35346","-71.062775","02111",589000.00,725800.00,1.00,2.00,610,964.00,"","CONDO","FOR_SALE","Douglas Elliman Real Estate",0,"2022-03-13 07:34:20"
"2100068537","521 E 8th St #3, Boston, MA 02127","E 8th St #3","Boston","MA","42.3311","-71.0405","02127",879000.00,879000.00,2.00,2.00,817,1075.00,"","CONDO","FOR_SALE","Boston Residential",0,"2022-03-13 07:34:20"
